#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;
EVTNAME_RIRSEI_1;The Kingdom of Brittany Restored!;Restauration du royaume de Bretagne;;;;;;;;x;;;;;;;;;;;;
EVTDESC_RIRSEI_1;After centuries of French domination, a king has arisen to restore the Kingdom of Brittany to its former glory. No longer will Brittany kneel to a French king, for she is by right and by the ancient traditions independent and free;Après tant de de siècles sous la suzeraineté des rois et empereurs des francs, la Bretagne recouvre enfin un roi, qui ne sera pas inféodé aux francs, mais libre et indépendant, comme les anciens monarques;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_RIRSEI_1;Long live Brittany!;Vive le nouveau royaume de Bretagne !;;;;;;;;x;;;;;;;;;;;;
EVTTOOLTIPRIRSEI.1;The Kingdom of Brittany is restored;Le royaume de Bretagne est restauré;;;;;;;;x;;;;;;;;;;;;
royaume_bretagne;Restore the Kingdom of Brittany;Restaurer le royaume de Bretagne;;;;;;;;x;;;;;;;;;;;;
royaume_bretagne_desc;It is time to take back what is rightfully ours.;Il est temps de reprendre notre indépendance;;;;;;;;x;;;;;;;;;;;;
royaume_aquitaine;Restore the Kingdom of Aquitaine;Restaurer le royaume d'Aquitaine;;;;;;;;;;;;x;;;;;;;;
royaume_aquitaine_desc;It is time to take back what is rightfully ours.;Il est temps de reprendre notre indépendance;;;;;;;;;;;;x;;;;;;;;
EVTNAME_RIRSEI_2;The Kingdom of Aquitaine Restored!;Restauration du royaume d'Aquitaine;;;;;;;;;;;;x;;;;;;;;
EVTDESC_RIRSEI_2;The day has finally come when the crown of Louis the Pious, son of Carolus Magnus, is finally upon the brow of a true king of Aquitaine. Our rightful territories and authority to rule have once again been restored to us.;Il est enfin temps pour nous de reprendre la couronne de Louis d'Aquitaine, fils de l'Empereur Charlemagne, car nous possédons les mêmes territoires mais aussi la même puissance;;;;;;;;;;;;x;;;;;;;;
EVTOPTA_RIRSEI_2;Long live Aquitaine!;Vive le nouveau royaume d'Aquitaine !;;;;;;;;;;;;x;;;;;;;;
EVTTOOLTIPRIRSEI.2;The Kingdom of Aquitaine is restored;Le royaume d'Aquitaine est restauré;;;;;;;;;;;;x
EVTNAME_RIRSEI_3;Sacre of the new King;Sacre du nouveau roi de France;;;;;;;;;;;;x;;;;;;;;
